seqId,BLASTN,CLARK,KRAKEN,MetaPhlAn,TIPP
B_cereus_MiSeq.101406,1396,222523,0,222523,0
B_cereus_MiSeq.101899,1396,1396,0,1217984,0
B_cereus_MiSeq.103514,1396,222523,0,222523,0
B_cereus_MiSeq.105987,0,86661,0,1217984,0
B_cereus_MiSeq.107190,1396,222523,0,1396,0
B_cereus_MiSeq.107874,1396,222523,0,222523,0
B_cereus_MiSeq.108302,1396,1396,0,1217984,0
B_cereus_MiSeq.108782,0,86661,0,1217984,0
B_cereus_MiSeq.109818,0,86661,0,334406,0
B_cereus_MiSeq.111257,0,86661,0,1396,0
B_cereus_MiSeq.111370,1396,222523,0,222523,0
B_cereus_MiSeq.112427,1396,222523,0,222523,0
B_cereus_MiSeq.112667,1396,222523,0,222523,0
B_cereus_MiSeq.113560,1396,1396,0,1217984,0
B_cereus_MiSeq.113569,1396,222523,0,222523,0
B_cereus_MiSeq.114198,1396,222523,0,222523,0
B_cereus_MiSeq.115897,1396,222523,0,222523,0
B_cereus_MiSeq.11687,1396,1396,0,1217984,0
B_cereus_MiSeq.118241,1396,222523,0,222523,0
B_cereus_MiSeq.118918,0,86661,0,1217984,0
B_cereus_MiSeq.119274,1396,222523,0,1396,0
B_cereus_MiSeq.119612,1396,1396,0,222523,0
B_cereus_MiSeq.120447,0,86661,0,334406,0
B_cereus_MiSeq.120491,0,86661,0,1217984,0
B_cereus_MiSeq.120795,1396,222523,0,1396,0
B_cereus_MiSeq.120832,1396,222523,0,222523,0
B_cereus_MiSeq.121752,1396,1396,0,1217984,0
B_cereus_MiSeq.123057,1396,1396,0,1217984,0
B_cereus_MiSeq.123389,1396,1396,0,1217984,0
B_cereus_MiSeq.123488,1396,222523,0,222523,0
B_cereus_MiSeq.125135,1396,222523,0,222523,0
B_cereus_MiSeq.125381,1396,1396,0,1217984,0
B_cereus_MiSeq.128980,1396,222523,0,1217984,0
B_cereus_MiSeq.129658,1396,222523,0,222523,0
B_cereus_MiSeq.130579,1396,222523,0,222523,0
B_cereus_MiSeq.130945,1396,222523,0,222523,0
B_cereus_MiSeq.131837,1396,222523,0,222523,0
B_cereus_MiSeq.13185,1396,1396,0,1217984,0
B_cereus_MiSeq.132453,1396,1396,0,1217984,0
B_cereus_MiSeq.133453,1396,1396,0,1217984,0
B_cereus_MiSeq.133671,0,86661,1385,1217984,0
B_cereus_MiSeq.13539,1396,222523,0,1396,0
B_cereus_MiSeq.136139,1396,222523,0,222523,0
B_cereus_MiSeq.137624,1396,222523,0,1396,0
B_cereus_MiSeq.137804,1396,222523,0,222523,0
B_cereus_MiSeq.137942,1396,222523,0,222523,0
B_cereus_MiSeq.138972,1396,222523,0,222523,0
B_cereus_MiSeq.139303,1396,1396,0,1217984,0
B_cereus_MiSeq.139652,1396,222523,0,222523,0
B_cereus_MiSeq.139841,1396,222523,0,222523,0
B_cereus_MiSeq.141492,1396,222523,0,222523,0
B_cereus_MiSeq.141699,1396,222523,0,222523,0
B_cereus_MiSeq.143700,1396,1396,0,334406,0
B_cereus_MiSeq.144050,1396,1396,0,222523,0
B_cereus_MiSeq.14455,1396,222523,0,222523,0
B_cereus_MiSeq.14463,1396,222523,0,222523,0
B_cereus_MiSeq.146094,0,86661,0,1217984,0
B_cereus_MiSeq.146408,1396,1396,0,1217984,0
B_cereus_MiSeq.147420,1396,222523,0,222523,0
B_cereus_MiSeq.147575,1396,1396,0,1217984,0
B_cereus_MiSeq.148018,1396,1396,0,1217984,0
B_cereus_MiSeq.149528,1396,1396,0,222523,0
B_cereus_MiSeq.149753,1396,1396,0,1217984,0
B_cereus_MiSeq.150728,1396,1396,0,1217984,0
B_cereus_MiSeq.151076,1396,1396,0,1217984,0
B_cereus_MiSeq.152534,1396,1396,0,1217984,0
B_cereus_MiSeq.153430,1396,1396,0,1217984,0
B_cereus_MiSeq.153629,1396,1396,0,222523,0
B_cereus_MiSeq.154075,1396,1396,0,1217984,0
B_cereus_MiSeq.154868,1396,1396,0,1217984,0
B_cereus_MiSeq.155198,1396,1396,0,1217984,0
B_cereus_MiSeq.156254,1396,1396,0,1217984,0
B_cereus_MiSeq.156386,1396,222523,0,222523,0
B_cereus_MiSeq.157239,1396,1396,0,1217984,0
B_cereus_MiSeq.159982,1396,1396,0,222523,0
B_cereus_MiSeq.16146,1396,1396,0,1217984,0
B_cereus_MiSeq.162614,0,86661,0,570416,0
B_cereus_MiSeq.163467,0,86661,0,930170,0
B_cereus_MiSeq.163825,1396,222523,0,222523,0
B_cereus_MiSeq.165263,0,86661,0,1396,0
B_cereus_MiSeq.166136,1396,1396,0,1217984,0
B_cereus_MiSeq.166404,0,86661,0,1217984,0
B_cereus_MiSeq.167016,1396,222523,0,222523,0
B_cereus_MiSeq.170551,1396,222523,0,222523,0
B_cereus_MiSeq.17175,1396,222523,0,222523,0
B_cereus_MiSeq.173076,1396,222523,0,1396,0
B_cereus_MiSeq.173896,0,86661,809,1392,0
B_cereus_MiSeq.17420,1396,1396,0,334406,0
B_cereus_MiSeq.174849,1396,1396,0,1217984,0
B_cereus_MiSeq.17635,1396,1396,0,1217984,0
B_cereus_MiSeq.176533,1396,1396,0,1217984,0
B_cereus_MiSeq.176704,1396,222523,0,1396,0
B_cereus_MiSeq.177411,0,86661,0,714359,0
B_cereus_MiSeq.178088,1396,222523,0,222523,0
B_cereus_MiSeq.178816,1396,222523,0,222523,0
B_cereus_MiSeq.179188,1396,222523,0,222523,0
B_cereus_MiSeq.180029,0,86661,0,714359,0
B_cereus_MiSeq.181864,1396,222523,0,222523,0
B_cereus_MiSeq.181933,1396,222523,0,1396,0
B_cereus_MiSeq.182994,1396,1396,0,1217984,0
B_cereus_MiSeq.183037,0,86661,1385,1545620,0
B_cereus_MiSeq.183042,0,86661,0,1217737,0
B_cereus_MiSeq.183231,1396,222523,0,222523,0
B_cereus_MiSeq.184000,1396,1396,0,1217984,0
B_cereus_MiSeq.18488,1396,1396,0,1217984,0
B_cereus_MiSeq.186274,1396,222523,0,222523,0
B_cereus_MiSeq.186560,1396,222523,0,222523,0
B_cereus_MiSeq.186774,1396,222523,0,222523,0
B_cereus_MiSeq.187103,1396,1396,0,1217984,0
B_cereus_MiSeq.187924,1396,1396,0,1217984,0
B_cereus_MiSeq.188778,1396,222523,0,1396,0
B_cereus_MiSeq.189483,1396,1396,0,1217984,0
B_cereus_MiSeq.189533,1396,1396,0,222523,0
B_cereus_MiSeq.191906,1396,1396,0,1217984,0
B_cereus_MiSeq.192403,1396,222523,0,222523,0
B_cereus_MiSeq.193559,1396,222523,0,222523,0
B_cereus_MiSeq.194905,1396,1396,0,1217984,0
B_cereus_MiSeq.195166,0,86661,0,714359,0
B_cereus_MiSeq.195471,1396,1396,0,334406,0
B_cereus_MiSeq.196752,1396,1396,0,1217984,0
B_cereus_MiSeq.197342,1396,222523,0,222523,0
B_cereus_MiSeq.198936,1396,1396,0,222523,0
B_cereus_MiSeq.199092,1396,1396,0,222523,0
B_cereus_MiSeq.199180,0,86661,0,570416,0
B_cereus_MiSeq.200296,1396,222523,0,222523,0
B_cereus_MiSeq.205296,0,86661,0,1217984,0
B_cereus_MiSeq.205662,1396,222523,0,222523,0
B_cereus_MiSeq.207334,1396,222523,0,222523,0
B_cereus_MiSeq.208983,1396,222523,0,1396,0
B_cereus_MiSeq.209041,1396,1396,0,1217984,0
B_cereus_MiSeq.21002,1396,222523,0,222523,0
B_cereus_MiSeq.210517,1396,222523,0,222523,0
B_cereus_MiSeq.210590,1396,222523,0,222523,0
B_cereus_MiSeq.21132,1396,222523,0,222523,0
B_cereus_MiSeq.211415,1396,222523,0,222523,0
B_cereus_MiSeq.211480,1396,1396,0,1217984,0
B_cereus_MiSeq.215581,1396,1396,0,1217984,0
B_cereus_MiSeq.218261,0,86661,0,1217984,0
B_cereus_MiSeq.218302,1396,222523,0,222523,0
B_cereus_MiSeq.220369,1396,222523,0,222523,0
B_cereus_MiSeq.221651,1396,1396,0,1217984,0
B_cereus_MiSeq.222312,1396,222523,0,222523,0
B_cereus_MiSeq.222948,0,86661,0,334406,0
B_cereus_MiSeq.223436,1396,1396,0,1217984,0
B_cereus_MiSeq.223950,1396,222523,0,222523,0
B_cereus_MiSeq.226492,1396,1396,0,1396,0
B_cereus_MiSeq.228116,1396,1396,0,1217984,0
B_cereus_MiSeq.228291,1396,222523,0,222523,0
B_cereus_MiSeq.228421,1396,222523,0,222523,0
B_cereus_MiSeq.230015,1396,222523,0,222523,0
B_cereus_MiSeq.230439,1396,1396,0,1217984,0
B_cereus_MiSeq.230947,1396,222523,0,222523,0
B_cereus_MiSeq.231007,0,86661,0,1392,0
B_cereus_MiSeq.231365,1396,222523,0,222523,0
B_cereus_MiSeq.231385,1396,1396,0,1217984,0
B_cereus_MiSeq.23223,1396,222523,0,222523,0
B_cereus_MiSeq.232426,1396,1396,0,1217984,0
B_cereus_MiSeq.236000,1396,1396,0,1217984,0
B_cereus_MiSeq.23757,1396,222523,0,222523,0
B_cereus_MiSeq.238739,1396,222523,0,222523,0
B_cereus_MiSeq.238788,1396,222523,0,222523,0
B_cereus_MiSeq.239708,1396,222523,0,222523,0
B_cereus_MiSeq.239925,1396,222523,0,222523,0
B_cereus_MiSeq.240969,1396,222523,0,222523,0
B_cereus_MiSeq.242888,1396,1396,0,1217984,0
B_cereus_MiSeq.244247,0,86661,0,570416,0
B_cereus_MiSeq.245959,1396,1396,0,1217984,0
B_cereus_MiSeq.246153,0,86661,1385,570416,0
B_cereus_MiSeq.247566,1396,1396,0,1217984,0
B_cereus_MiSeq.25069,1396,222523,0,1396,0
B_cereus_MiSeq.250699,1396,1396,0,1217984,0
B_cereus_MiSeq.252993,1396,1396,0,1217984,0
B_cereus_MiSeq.253028,1396,222523,0,222523,0
B_cereus_MiSeq.253149,1396,222523,0,222523,0
B_cereus_MiSeq.253425,0,86661,0,1217984,0
B_cereus_MiSeq.253464,1396,222523,0,1396,0
B_cereus_MiSeq.25355,0,86661,0,0,0
B_cereus_MiSeq.253889,1396,222523,0,222523,0
B_cereus_MiSeq.254420,1396,222523,0,222523,0
B_cereus_MiSeq.255646,1396,222523,0,281309,0
B_cereus_MiSeq.256962,1396,222523,0,1396,0
B_cereus_MiSeq.25762,1396,1396,0,1217984,0
B_cereus_MiSeq.258323,0,86661,0,570416,0
B_cereus_MiSeq.259041,0,86661,1385,570416,0
B_cereus_MiSeq.25976,1396,222523,0,1396,0
B_cereus_MiSeq.259775,1396,222523,0,222523,0
B_cereus_MiSeq.261453,1396,1396,0,1217984,0
B_cereus_MiSeq.261907,0,86661,1385,570416,0
B_cereus_MiSeq.261945,1396,1396,0,1217984,0
B_cereus_MiSeq.262068,1396,222523,0,222523,0
B_cereus_MiSeq.262393,1396,222523,0,222523,0
B_cereus_MiSeq.264812,1396,1396,0,334406,0
B_cereus_MiSeq.266990,1396,222523,0,222523,0
B_cereus_MiSeq.267213,0,86661,1385,1392,0
B_cereus_MiSeq.267410,1396,1396,0,222523,0
B_cereus_MiSeq.268850,1396,222523,0,222523,0
B_cereus_MiSeq.270634,1396,222523,0,222523,0
B_cereus_MiSeq.270748,1396,222523,0,222523,0
B_cereus_MiSeq.271700,0,86661,0,1392,0
B_cereus_MiSeq.272605,1396,222523,0,222523,0
B_cereus_MiSeq.27361,1396,1396,0,1217984,0
B_cereus_MiSeq.274229,1396,222523,0,222523,0
B_cereus_MiSeq.275008,1396,222523,0,1396,0
B_cereus_MiSeq.275559,1396,222523,0,222523,0
B_cereus_MiSeq.276481,1396,1396,0,1217984,0
B_cereus_MiSeq.278678,1396,1396,0,222523,0
B_cereus_MiSeq.279051,1396,222523,0,222523,0
B_cereus_MiSeq.280167,1396,222523,0,222523,0
B_cereus_MiSeq.280202,0,86661,0,1217984,0
B_cereus_MiSeq.281365,1396,1396,0,1217984,0
B_cereus_MiSeq.281537,0,86661,0,1396,0
B_cereus_MiSeq.283869,1396,222523,0,222523,0
B_cereus_MiSeq.285140,1396,222523,0,222523,0
B_cereus_MiSeq.285641,1396,222523,0,222523,0
